,P7,O1,O2,P8,TIME
2131,4625.128,3974.359,3889.231,4333.846,1606508954.2273
2132,4616.41,3970.769,3883.077,4321.538,1606508954.2351
2133,4622.051,3986.154,3885.641,4320.513,1606508954.2428
2134,4622.564,3980.513,3881.026,4324.615,1606508954.2506
2135,4614.359,3968.205,3869.744,4315.385,1606508954.2583
2136,4618.462,3978.462,3872.821,4310.769,1606508954.2662
2137,4623.59,3980.513,3884.103,4320.0,1606508954.2739
2138,4622.051,3971.795,3886.667,4325.641,1606508954.2818
2139,4622.051,3977.949,3887.179,4326.154,1606508954.2896
2140,4618.462,3984.103,3890.256,4325.641,1606508954.2975
2141,4620.513,3980.513,3888.205,4324.615,1606508954.3054
2142,4629.744,3981.026,3886.154,4325.641,1606508954.3133
2143,4627.179,3980.513,3885.128,4323.077,1606508954.3211
2144,4612.821,3969.744,3876.923,4309.744,1606508954.329
2145,4608.718,3966.154,3873.846,4304.103,1606508954.3368
2146,4614.872,3972.821,3880.513,4309.231,1606508954.3448
2147,4621.026,3980.513,3881.538,4311.795,1606508954.3526
2148,4618.462,3977.949,3880.0,4314.872,1606508954.3605
2149,4619.487,3976.41,3886.667,4324.103,1606508954.3683
2150,4631.795,3984.615,3892.308,4331.795,1606508954.376
2151,4622.564,3979.487,3892.308,4327.692,1606508954.3839
2152,4595.897,3961.538,3887.179,4313.846,1606508954.3916
2153,4596.41,3960.0,3881.538,4306.154,1606508954.3994
2154,4630.256,3986.667,3886.154,4316.923,1606508954.4071
2155,4624.103,3991.282,3884.103,4313.333,1606508954.4149
2156,4575.897,3954.872,3866.667,4281.026,1606508954.4227
2157,4593.333,3960.0,3872.308,4279.487,1606508954.4305
2158,4636.41,3991.795,3888.718,4307.179,1606508954.4382
2159,4595.385,3955.385,3867.692,4295.385,1606508954.446
2160,4612.821,3969.744,3872.308,4307.179,1606508971.3285
2161,4601.026,3962.564,3874.872,4308.205,1606508971.3363
2162,4590.256,3950.256,3871.795,4308.205,1606508971.344
2163,4603.59,3954.359,3870.769,4306.154,1606508971.3518
2164,4609.231,3968.205,3874.872,4306.667,1606508971.3595
2165,4605.128,3971.795,3876.41,4308.718,1606508971.3675
2166,4619.487,3974.872,3881.026,4310.256,1606508971.3753
2167,4630.769,3984.615,3890.256,4317.436,1606508971.3832
2168,4621.026,3985.128,3894.359,4334.872,1606508971.391
2169,4610.256,3973.846,3889.231,4336.41,1606508971.3989
2170,4600.513,3965.641,3883.077,4321.026,1606508971.4068
2171,4603.077,3971.282,3887.692,4319.487,1606508971.4147
2172,4614.872,3973.333,3884.615,4321.538,1606508971.4225
2173,4597.949,3950.256,3862.051,4303.59,1606508971.4304
2174,4584.615,3942.564,3859.487,4302.564,1606508971.4382
2175,4608.205,3970.256,3882.051,4327.179,1606508971.4462
2176,4627.692,3985.128,3890.769,4337.436,1606508971.454
2177,4619.487,3973.846,3886.667,4329.231,1606508971.4617
2178,4609.231,3970.256,3887.179,4318.974,1606508971.4695
2179,4604.615,3969.231,3880.0,4311.282,1606508971.4772
2180,4604.103,3960.513,3875.897,4310.256,1606508971.4851
2181,4608.718,3961.026,3881.026,4312.821,1606508971.4928
2182,4611.282,3967.692,3878.462,4310.769,1606508971.5006
2183,4611.282,3972.308,3880.0,4314.872,1606508971.5083
2184,4603.59,3971.795,3885.641,4316.923,1606508971.5161
2185,4596.41,3967.179,3877.436,4306.154,1606508971.5239
2186,4603.077,3966.667,3871.282,4306.154,1606508971.5317
2187,4617.436,3973.333,3882.051,4321.538,1606508971.5394
2188,4621.026,3973.846,3890.256,4325.128,1606508971.5473
2189,4606.154,3963.077,3884.615,4315.897,1606508971.5551
2190,4593.333,3957.436,3877.949,4310.256,1606508971.5631
2191,4598.462,3961.538,3878.974,4312.308,1606508971.5709
2192,4603.59,3964.103,3882.564,4313.846,1606508971.5788
2193,4594.359,3957.436,3876.41,4306.154,1606508971.5866
2194,4585.128,3950.769,3866.154,4295.385,1606508971.5945
2195,4593.333,3962.564,3870.256,4301.538,1606508971.6024
2196,4605.128,3972.308,3880.513,4314.872,1606508971.6103
2197,4602.564,3960.513,3882.051,4312.308,1606508971.6181
2198,4598.462,3954.872,3882.564,4306.154,1606508971.626
2199,4601.026,3966.154,3886.667,4310.256,1606508971.6338
2200,4595.897,3967.179,3886.667,4309.231,1606508971.6416
2201,4593.846,3963.59,3885.128,4304.103,1606508971.6494
2202,4607.179,3973.333,3889.231,4315.385,1606508971.6571
2203,4610.256,3977.436,3891.282,4327.692,1606508971.6649
2204,4592.821,3963.077,3883.59,4317.949,1606508971.6726
2205,4579.487,3948.205,3872.308,4299.487,1606508971.6805
2206,4592.821,3956.41,3875.897,4305.128,1606508971.6882
2207,4607.692,3975.385,3888.718,4323.077,1606508971.696
2208,4607.179,3973.333,3889.231,4328.205,1606508971.7037
2209,4603.077,3957.949,3879.487,4317.436,1606508971.7115
2210,4597.949,3953.846,3876.923,4308.205,1606508971.7193
2211,4591.282,3960.0,3877.949,4307.692,1606508971.7272
2212,4595.897,3966.667,3880.0,4314.359,1606508971.735
2213,4603.59,3968.718,3884.615,4317.949,1606508971.7429
2214,4602.051,3965.641,3885.641,4316.923,1606508971.7507
2215,4594.872,3961.026,3881.538,4316.923,1606508971.7587
2216,4587.179,3958.462,3883.077,4313.333,1606508971.7665
2217,4588.205,3961.026,3884.103,4307.692,1606508971.7744
2218,4597.949,3965.128,3876.923,4309.231,1606508971.7822
2219,4597.436,3963.59,3877.949,4316.41,1606508971.7901
2220,4592.308,3955.897,3880.0,4313.333,1606508971.798
2221,4602.051,3957.949,3876.923,4308.718,1606508971.8059
2222,4607.692,3970.256,3882.564,4315.385,1606508971.8137
2223,4595.897,3968.205,3890.256,4320.513,1606508971.8214
2224,4588.205,3950.256,3880.513,4313.846,1606508971.8292
2225,4596.923,3951.282,3869.231,4312.308,1606508971.837
2226,4600.513,3969.231,3873.333,4316.41,1606508971.8448
2227,4587.179,3962.564,3871.795,4308.718,1606508971.8525
2228,4582.051,3942.564,3868.205,4298.462,1606508971.8603
2229,4597.436,3952.308,3873.333,4306.154,1606508971.868
2230,4609.231,3969.744,3876.41,4316.41,1606508971.8759
2231,4605.128,3969.744,3880.513,4314.359,1606508971.8836
2232,4597.949,3966.154,3885.641,4312.308,1606508971.8914
2233,4596.923,3961.538,3876.41,4315.385,1606508971.8991
2234,4597.949,3953.333,3867.692,4311.282,1606508971.9069
2235,4597.949,3949.744,3873.846,4310.256,1606508971.9147
2236,4598.462,3950.769,3875.897,4319.487,1606508971.9226
2237,4595.897,3954.359,3870.256,4317.436,1606508971.9304
2238,4593.846,3962.051,3872.821,4312.821,1606508971.9383
2239,4592.821,3959.487,3879.487,4322.564,1606508971.9461
2240,4593.333,3955.897,3878.974,4325.128,1606508971.9541
2241,4595.897,3958.974,3873.846,4308.718,1606508971.9619
2242,4598.974,3960.513,3873.333,4306.154,1606508971.9698
2243,4602.564,3963.077,3877.949,4321.026,1606508971.9776
2244,4599.487,3964.103,3879.487,4322.564,1606508971.9855
