,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,TIME
231,0.174,0.617,0.363,0.242,0.179,0.344,1.27,0.744,0.239,0.15,1606228766.6407
232,0.171,0.536,0.343,0.21,0.187,0.282,1.536,0.8,0.196,0.151,1606228766.7657
233,0.184,0.439,0.325,0.225,0.207,0.237,1.696,0.821,0.165,0.148,1606228766.8909
234,0.217,0.354,0.304,0.285,0.236,0.21,1.696,0.802,0.154,0.143,1606228767.016
235,0.266,0.294,0.27,0.374,0.269,0.197,1.528,0.736,0.16,0.141,1606228767.1412
236,0.313,0.256,0.225,0.47,0.306,0.191,1.236,0.622,0.177,0.141,1606228767.2664
237,0.34,0.241,0.181,0.55,0.347,0.186,0.9,0.486,0.195,0.148,1606228767.3918
238,0.336,0.258,0.154,0.6,0.396,0.177,0.606,0.361,0.214,0.164,1606228767.5168
239,0.301,0.321,0.15,0.617,0.456,0.166,0.408,0.276,0.233,0.195,1606228767.6421
240,0.23,0.676,0.429,0.831,0.513,0.199,0.488,0.199,0.334,0.242,1606228777.2764
241,0.299,0.747,0.505,0.845,0.429,0.237,0.502,0.237,0.338,0.229,1606228777.4014
242,0.366,0.784,0.555,0.825,0.372,0.276,0.487,0.257,0.324,0.211,1606228777.5267
243,0.412,0.776,0.57,0.766,0.351,0.308,0.443,0.256,0.29,0.191,1606228777.6523
244,0.424,0.725,0.555,0.681,0.364,0.32,0.378,0.234,0.24,0.173,1606228777.7767
245,0.406,0.643,0.525,0.599,0.396,0.308,0.308,0.203,0.185,0.162,1606228777.9018
246,0.376,0.547,0.493,0.541,0.432,0.274,0.247,0.174,0.139,0.162,1606228778.0273
247,0.366,0.459,0.465,0.519,0.46,0.235,0.207,0.157,0.114,0.175,1606228778.1521
248,0.391,0.39,0.444,0.527,0.469,0.214,0.188,0.155,0.119,0.196,1606228778.2773
249,0.452,0.343,0.428,0.547,0.462,0.235,0.186,0.166,0.155,0.222,1606228778.4026
250,0.524,0.316,0.418,0.56,0.447,0.299,0.204,0.189,0.213,0.247,1606228778.5274
251,0.585,0.317,0.417,0.549,0.437,0.391,0.257,0.221,0.274,0.269,1606228778.6523
252,0.618,0.356,0.429,0.509,0.445,0.485,0.363,0.256,0.32,0.289,1606228778.7778
253,0.634,0.44,0.449,0.443,0.476,0.56,0.531,0.286,0.334,0.31,1606228778.9025
254,0.636,0.552,0.476,0.365,0.52,0.613,0.734,0.311,0.313,0.328,1606228779.0274
255,0.641,0.663,0.5,0.292,0.561,0.655,0.919,0.326,0.262,0.339,1606228779.1527
256,0.647,0.741,0.515,0.237,0.584,0.697,1.028,0.333,0.199,0.335,1606228779.2775
257,0.646,0.766,0.518,0.209,0.581,0.735,1.024,0.332,0.14,0.315,1606228779.4024
258,0.624,0.738,0.507,0.21,0.555,0.753,0.909,0.324,0.095,0.28,1606228779.5282
259,0.569,0.673,0.477,0.24,0.518,0.732,0.725,0.307,0.068,0.237,1606228779.6534
260,0.489,0.595,0.43,0.302,0.484,0.66,0.532,0.281,0.056,0.194,1606228779.778
261,0.403,0.522,0.369,0.396,0.463,0.547,0.379,0.245,0.052,0.158,1606228779.9035
262,0.328,0.464,0.308,0.516,0.454,0.421,0.294,0.204,0.054,0.132,1606228780.0285
263,0.278,0.426,0.263,0.646,0.452,0.317,0.276,0.166,0.062,0.115,1606228780.1531
264,0.476,1.03,0.124,0.524,0.381,0.349,0.334,0.205,0.166,0.149,1606228799.1721
265,0.448,1.081,0.108,0.542,0.34,0.337,0.439,0.191,0.152,0.158,1606228799.2977
266,0.397,1.076,0.115,0.545,0.309,0.334,0.561,0.19,0.143,0.17,1606228799.4229
267,0.334,1.005,0.141,0.534,0.297,0.342,0.673,0.198,0.145,0.182,1606228799.5476
268,0.272,0.88,0.175,0.514,0.308,0.356,0.743,0.21,0.162,0.195,1606228799.673
269,0.236,0.721,0.202,0.493,0.336,0.37,0.745,0.221,0.197,0.211,1606228799.7978
270,0.257,0.56,0.213,0.473,0.366,0.392,0.675,0.23,0.242,0.23,1606228799.9226
271,0.363,0.439,0.205,0.449,0.382,0.441,0.559,0.237,0.283,0.25,1606228800.0481
272,0.554,0.391,0.184,0.416,0.377,0.531,0.441,0.243,0.306,0.264,1606228800.1733
