,P7,O1,O2,P8,TIME
5515,4628.205,3948.718,3824.615,4308.205,1606956723.5097
5516,4630.769,3954.359,3834.872,4314.359,1606956723.5175
5517,4633.333,3948.718,3840.513,4315.897,1606956723.5252
5518,4637.949,3954.359,3840.513,4318.462,1606956723.533
5519,4647.179,3964.103,3837.949,4318.974,1606956723.5407
5520,4653.333,3960.0,3836.923,4325.128,1606956723.5486
5521,4647.692,3951.795,3835.897,4331.795,1606956723.5563
5522,4649.231,3954.872,3837.949,4333.333,1606956723.5641
5523,4658.462,3958.974,3843.59,4332.821,1606956723.5718
5524,4656.923,3957.949,3842.051,4330.769,1606956723.5796
5525,4651.795,3956.41,3836.923,4328.718,1606956723.5874
5526,4654.872,3958.974,3840.0,4330.256,1606956723.5952
5527,4654.359,3961.026,3842.564,4328.205,1606956723.6029
5528,4646.154,3956.923,3835.385,4320.513,1606956723.6108
5529,4638.462,3951.282,3834.872,4320.0,1606956723.6186
5530,4644.615,3954.359,3843.077,4327.692,1606956723.6266
5531,4653.333,3954.872,3839.487,4328.718,1606956723.6344
5532,4651.282,3950.256,3833.333,4324.103,1606956723.6423
5533,4647.692,3950.256,3839.487,4326.667,1606956723.6501
5534,4649.744,3950.769,3840.0,4330.769,1606956723.658
5535,4650.256,3947.692,3831.795,4324.103,1606956723.6659
5536,4647.692,3948.718,3833.333,4317.949,1606956723.6738
5537,4646.667,3955.897,3839.487,4324.103,1606956723.6816
5538,4644.615,3956.923,3840.0,4330.256,1606956723.6895
5539,4645.128,3957.949,3843.077,4332.821,1606956723.6973
5540,4644.615,3959.487,3842.564,4332.308,1606956723.7051
5541,4644.103,3956.923,3842.051,4332.821,1606956723.7129
5542,4646.154,3952.308,3845.641,4332.821,1606956723.7206
5543,4648.205,3952.821,3846.154,4331.795,1606956723.7284
5544,4649.744,3951.282,3838.974,4330.769,1606956723.7361
5545,4651.795,3947.692,3835.385,4331.282,1606956723.744
5546,4647.179,3950.769,3837.436,4326.154,1606956723.7517
5547,4644.615,3956.41,3839.487,4320.513,1606956723.7595
5548,4651.282,3958.974,3847.692,4329.231,1606956723.7672
5549,4650.769,3960.0,3852.308,4341.026,1606956723.775
5550,4643.59,3961.026,3848.718,4336.41,1606956723.7828
5551,4646.667,3960.513,3844.615,4323.077,1606956723.7907
5552,4644.615,3957.436,3844.615,4318.974,1606956723.7985
5553,4635.897,3954.359,3842.051,4319.487,1606956723.8064
5554,4641.538,3955.385,3843.077,4323.077,1606956723.8142
5555,4651.795,3954.359,3847.179,4326.154,1606956723.8222
5556,4650.256,3953.333,3846.154,4325.641,1606956723.83
5557,4650.256,3962.051,3848.718,4327.692,1606956723.8379
5558,4651.282,3960.0,3849.744,4330.769,1606956723.8457
5559,4642.564,3945.128,3839.487,4322.564,1606956723.8536
5560,4645.641,3951.282,3842.564,4323.59,1606956723.8615
5561,4656.923,3965.641,3855.897,4338.462,1606956723.8694
5562,4655.897,3963.077,3853.846,4336.923,1606956723.8772
5563,4655.385,3960.513,3848.718,4324.103,1606956723.8849
5564,4661.026,3968.205,3856.41,4328.718,1606956723.8927
5565,4652.821,3963.59,3855.897,4335.385,1606956723.9005
5566,4638.462,3958.974,3850.256,4329.231,1606956723.9083
5567,4641.538,3966.667,3853.846,4327.179,1606956723.916
5568,4649.744,3964.103,3852.308,4325.641,1606956723.9238
5569,4649.231,3956.41,3846.154,4324.103,1606956723.9315
5570,4648.718,3958.462,3850.769,4328.205,1606956723.9394
5571,4652.821,3966.154,3859.487,4337.436,1606956723.9471
5572,4647.692,3963.077,3857.949,4334.359,1606956723.9549
5573,4638.974,3957.436,3853.846,4327.692,1606956723.9626
5574,4640.0,3958.974,3851.282,4329.231,1606956723.9704
5575,4646.154,3963.077,3849.231,4330.769,1606956723.9782
5576,4646.667,3962.564,3849.231,4327.179,1606956723.9861
5577,4644.103,3961.026,3850.256,4321.538,1606956723.9939
5578,4644.103,3958.974,3844.103,4316.923,1606956724.0018
5579,4645.128,3952.821,3837.949,4318.974,1606956724.0096
5580,4641.538,3950.256,3843.077,4326.667,1606956724.0176
5581,4638.462,3953.333,3849.744,4329.231,1606956724.0254
5582,4643.077,3955.385,3846.667,4322.564,1606956724.0333
5583,4647.179,3956.41,3843.077,4324.103,1606956724.0411
5584,4646.667,3959.487,3850.256,4333.846,1606956724.049
5585,4645.641,3959.487,3856.41,4334.872,1606956724.0569
5586,4647.692,3962.051,3852.308,4330.769,1606956724.0648
5587,4649.231,3965.128,3849.231,4328.205,1606956724.0726
5588,4648.205,3962.564,3850.769,4326.667,1606956724.0803
5589,4644.615,3960.0,3850.256,4324.103,1606956724.0881
5590,4644.103,3962.051,3848.205,4328.205,1606956724.0959
5591,4635.897,3953.846,3847.179,4325.128,1606956724.1037
5592,4624.103,3938.974,3845.128,4314.872,1606956724.1114
5593,4630.256,3938.462,3845.128,4314.872,1606956724.1192
5594,4645.128,3950.256,3847.692,4324.103,1606956724.1269
5595,4647.179,3957.436,3847.179,4329.231,1606956724.1348
5596,4643.077,3959.487,3852.308,4327.692,1606956724.1425
5597,4643.077,3962.564,3862.564,4328.718,1606956724.1503
5598,4638.462,3961.026,3857.436,4327.179,1606956724.158
5599,4629.231,3954.359,3845.128,4322.564,1606956724.1659
5600,4632.821,3957.436,3850.769,4331.282,1606956724.1738
5601,4647.692,3969.744,3863.59,4343.077,1606956724.1817
5602,4646.667,3967.179,3860.0,4335.385,1606956724.1895
5603,4632.821,3949.744,3847.179,4323.59,1606956724.1974
5604,4629.231,3945.128,3844.615,4324.615,1606956724.2052
5605,4636.41,3952.308,3852.821,4328.205,1606956724.2132
5606,4637.949,3949.231,3853.846,4327.179,1606956724.221
5607,4636.923,3948.205,3848.718,4327.692,1606956724.2289
5608,4635.385,3957.949,3853.846,4329.744,1606956724.2367
5609,4627.692,3959.487,3857.949,4329.231,1606956724.2446
5610,4625.128,3951.282,3850.769,4325.641,1606956724.2525
5611,4636.923,3956.41,3850.256,4327.179,1606956724.2602
5612,4651.282,3970.769,3862.051,4339.487,1606956724.268
5613,4652.821,3970.256,3868.205,4345.641,1606956724.2757
5614,4641.026,3957.436,3860.513,4336.41,1606956724.2835
5615,4632.308,3950.769,3853.846,4326.667,1606956724.2913
5616,4634.359,3956.41,3856.41,4327.692,1606956724.2991
5617,4643.077,3960.0,3861.026,4336.41,1606956724.3068
5618,4645.641,3955.897,3863.077,4341.538,1606956724.3146
5619,4637.436,3949.744,3857.949,4332.821,1606956724.3223
5620,4637.436,3951.795,3852.308,4327.179,1606956724.3303
5621,4643.077,3953.333,3850.769,4331.795,1606956724.3381
5622,4636.923,3949.744,3850.769,4327.692,1606956724.346
5623,4625.641,3946.667,3847.692,4313.846,1606956724.3538
