,P7,O1,O2,P8,TIME
183,4623.077,3983.077,3910.256,4339.487,1606508899.6536
184,4626.154,3974.872,3904.103,4346.154,1606508899.6615
185,4621.026,3974.872,3879.487,4329.231,1606508899.6694
186,4615.385,3973.333,3864.103,4300.0,1606508899.6772
187,4617.949,3973.846,3873.846,4300.513,1606508899.6851
188,4624.615,3978.974,3883.59,4324.615,1606508899.6929
189,4632.308,3987.179,3893.333,4335.897,1606508899.7009
190,4632.821,3988.205,3911.282,4338.462,1606508899.7088
191,4609.231,3962.051,3894.872,4325.641,1606508899.7166
192,4590.769,3947.179,3866.667,4306.667,1606508899.7244
193,4616.923,3973.846,3891.795,4331.282,1606508899.7321
194,4647.179,3990.256,3922.564,4358.462,1606508899.74
195,4631.795,3977.436,3906.667,4333.846,1606508899.7477
196,4606.154,3972.308,3890.769,4307.179,1606508899.7555
197,4608.205,3971.795,3886.667,4314.359,1606508899.7632
198,4620.513,3967.179,3865.128,4312.308,1606508899.771
199,4634.359,3977.436,3858.974,4305.128,1606508899.7788
200,4641.538,3980.0,3875.897,4314.359,1606508899.7867
201,4637.436,3976.41,3885.641,4321.026,1606508899.7945
202,4625.128,3986.154,3887.179,4321.026,1606508899.8024
203,4606.667,3979.487,3891.795,4321.026,1606508899.8102
204,4608.205,3962.051,3901.538,4322.564,1606508899.8182
205,4638.974,3978.462,3912.308,4333.846,1606508899.826
206,4648.205,3996.41,3905.128,4339.487,1606508899.8339
207,4625.641,3975.897,3889.744,4331.282,1606508899.8417
208,4618.462,3961.026,3885.641,4318.462,1606508899.8496
209,4637.436,3982.051,3887.692,4310.256,1606508899.8575
210,4649.231,3997.949,3890.769,4309.231,1606508899.8654
211,4632.821,3981.026,3887.692,4306.154,1606508899.8732
212,4621.026,3973.846,3883.077,4304.615,1606508899.881
213,4641.538,3995.385,3894.359,4317.436,1606508899.8888
214,4646.667,3995.897,3902.051,4328.205,1606508899.8966
215,4614.872,3971.282,3887.179,4316.41,1606508899.9044
216,4611.795,3974.359,3880.513,4307.692,1606508899.9121
217,4645.128,3995.385,3893.333,4319.487,1606508899.9199
218,4651.795,3994.359,3900.0,4330.256,1606508899.9276
219,4629.744,3982.564,3894.359,4325.641,1606508899.9355
220,4612.821,3974.359,3883.59,4311.282,1606508899.9432
221,4611.795,3964.615,3875.385,4304.103,1606508899.951
222,4628.718,3968.718,3876.41,4306.667,1606508899.9587
223,4629.744,3974.359,3875.385,4300.513,1606508899.9665
224,4616.41,3965.128,3874.359,4301.026,1606508899.9743
225,4619.487,3959.487,3878.974,4309.231,1606508899.9822
226,4613.846,3964.615,3882.564,4302.564,1606508899.99
227,4595.897,3970.256,3887.692,4305.128,1606508899.9979
228,4608.718,3972.308,3896.923,4328.205,1606508900.0057
229,4630.256,3970.769,3897.436,4328.205,1606508900.0137
230,4629.744,3971.282,3892.821,4313.333,1606508900.0215
231,4621.026,3973.333,3889.744,4313.333,1606508900.0294
232,4610.256,3965.128,3880.513,4309.231,1606508900.0372
233,4605.128,3959.487,3876.41,4297.436,1606508900.0451
234,4610.256,3963.077,3880.513,4296.41,1606508900.0529
235,4606.154,3951.282,3877.436,4295.385,1606508900.0609
236,4610.769,3952.821,3886.154,4309.231,1606508900.0687
237,4634.872,3983.59,3907.692,4334.359,1606508900.0764
238,4636.923,3997.436,3900.513,4327.692,1606508900.0843
239,4609.744,3975.897,3872.821,4298.462,1606508900.0921
240,4595.385,3949.231,3866.667,4290.769,1606508900.1
241,4604.615,3949.744,3876.923,4295.897,1606508900.1077
242,4604.615,3962.051,3872.308,4287.179,1606508900.1155
243,4598.462,3961.026,3866.154,4286.154,1606508900.1232
244,4599.487,3948.718,3870.256,4289.744,1606508900.131
245,4602.051,3949.231,3871.282,4283.59,1606508900.1388
246,4597.949,3949.231,3864.103,4274.359,1606508900.1466
247,4604.103,3948.205,3869.744,4276.41,1606508900.1543
248,4613.846,3956.923,3871.795,4280.0,1606508900.1621
249,4602.564,3946.667,3859.487,4284.103,1606508900.1698
250,4582.564,3926.667,3883.077,4303.077,1606508900.1778
251,4586.667,3944.103,3908.205,4315.385,1606508900.1856
252,4606.154,3969.231,3869.744,4295.897,1606508900.1935
253,4606.154,3956.41,3831.282,4268.718,1606508900.2013
254,4602.051,3946.667,3853.333,4271.282,1606508900.2092
255,4605.641,3953.333,3871.282,4285.641,1606508900.2171
256,4593.333,3942.564,3857.436,4282.564,1606508900.225
257,4576.41,3931.282,3854.359,4273.846,1606508900.2328
258,4585.128,3943.077,3861.538,4274.872,1606508900.2407
259,4594.872,3946.154,3867.179,4282.051,1606508900.2485
260,4588.718,3941.538,3875.897,4286.667,1606508900.2563
261,4593.846,3951.795,3883.59,4295.385,1606508900.2641
262,4604.615,3960.513,3888.718,4309.231,1606508900.2718
263,4599.487,3950.769,3886.667,4308.205,1606508900.2796
264,4576.923,3934.872,3874.872,4290.769,1606508900.2873
265,4557.949,3929.744,3861.026,4280.0,1606508900.2952
266,4556.41,3929.744,3853.846,4276.923,1606508900.3029
267,4561.026,3921.538,3853.333,4271.795,1606508900.3107
268,4554.359,3909.744,3852.308,4268.718,1606508900.3184
269,4563.077,3920.513,3858.462,4274.872,1606508900.3262
270,4610.769,3957.436,3874.872,4287.179,1606508900.334
271,4630.256,3978.974,3888.205,4306.667,1606508900.3418
272,4608.718,3975.897,3903.077,4330.256,1606508900.3495
273,4624.103,3982.051,3919.487,4343.59,1606508900.3574
274,4645.641,3984.103,3915.897,4343.077,1606508900.3652
275,4618.974,3973.333,3906.154,4344.103,1606508900.3732
276,4604.103,3969.231,3903.59,4337.949,1606508900.381
277,4611.795,3953.333,3881.026,4301.026,1606508900.3889
278,4589.231,3927.692,3850.769,4267.692,1606508900.3967
279,4562.051,3917.949,3843.59,4255.385,1606508900.4046
280,4569.231,3917.949,3844.615,4248.205,1606508900.4125
281,4553.333,3893.846,3825.641,4226.154,1606508900.4204
282,4488.205,3846.154,3792.821,4187.179,1606508900.4282
283,4445.128,3811.795,3774.872,4160.513,1606508900.436
284,4472.308,3828.718,3795.897,4183.077,1606508900.4438
285,4502.051,3858.462,3814.872,4212.308,1606508900.4516
286,4500.513,3865.128,3810.769,4213.333,1606508900.4594
287,4517.436,3882.051,3821.538,4218.974,1606508900.4671
288,4541.026,3903.59,3834.872,4227.692,1606508900.4749
289,4528.718,3894.872,3825.128,4221.026,1606508900.4826
290,4504.615,3864.615,3799.487,4204.103,1606508900.4905
291,4489.744,3856.923,3804.103,4179.487,1606508900.4982
292,4482.051,3880.513,3838.974,4166.154,1606508900.506
293,4508.205,3891.795,3831.795,4194.359,1606508900.5137
294,4551.795,3874.359,3791.795,4234.872,1606508900.5215
295,4583.59,3896.41,3804.103,4251.282,1606508900.5293
296,4609.744,3947.692,3855.897,4265.641,1606508900.5372
297,4631.795,3953.846,3877.436,4297.436,1606508900.545
298,4630.769,3954.872,3884.103,4316.923,1606508900.5529
299,4633.333,4003.59,3906.667,4325.641,1606508900.5607
300,4681.026,4047.179,3949.231,4370.256,1606508900.5687
301,4722.564,4066.154,3979.487,4412.821,1606508900.5765
302,4706.154,4085.128,3951.282,4387.179,1606508900.5844
303,4687.692,4073.333,3920.0,4354.872,1606508900.5922
304,4708.718,4031.795,3943.59,4375.897,1606508900.6001
305,4701.026,4002.564,3956.923,4386.154,1606508900.608
306,4658.974,3994.872,3926.154,4361.538,1606508900.6159
307,4668.205,4008.718,3914.872,4360.513,1606508900.6237
308,4690.769,4010.256,3924.615,4365.641,1606508900.6315
309,4668.205,4006.667,3921.538,4354.359,1606508900.6393
310,4639.487,4026.667,3914.359,4338.462,1606508900.6471
311,4663.077,4055.385,3924.615,4330.769,1606508900.6549
312,4682.051,4044.103,3934.359,4331.282,1606508900.6626
313,4651.282,4023.077,3930.256,4342.564,1606508900.6704
314,4613.846,3992.308,3916.41,4345.641,1606508900.6781
315,4633.846,3962.051,3912.821,4355.897,1606508900.686
316,4702.564,4006.667,3928.205,4390.256,1606508900.6937
317,4686.667,4034.359,3920.0,4380.513,1606508900.7015
318,4608.205,3990.256,3894.872,4328.205,1606508900.7092
319,4636.923,4006.667,3923.077,4338.974,1606508900.717
320,4672.308,4036.923,3960.0,4370.256,1606508900.7248
321,4584.615,3986.667,3919.487,4326.154,1606508900.7326
322,4568.718,3979.487,3911.282,4316.41,1606508900.7403
323,4640.513,4025.641,3966.667,4371.795,1606508900.7482
324,4676.923,4025.128,3969.744,4390.256,1606508900.756
325,4704.615,4007.179,3928.205,4386.154,1606508900.764
326,4626.667,3955.897,3879.487,4362.564,1606508900.7718
327,4532.308,3923.59,3856.923,4310.769,1606508900.7797
328,4689.744,4025.641,3944.615,4344.615,1606508900.7875
329,4796.41,4072.308,3980.513,4382.564,1606508900.7954
330,4617.949,3977.949,3872.308,4302.051,1606508900.8033
331,4601.538,3990.256,3876.923,4298.974,1606508900.8112
332,4766.154,4088.718,3974.359,4397.949,1606508900.819
333,4709.744,4053.846,3937.436,4381.538,1606508900.8267
334,4628.718,4004.615,3912.308,4333.333,1606508900.8345
335,4745.641,4049.231,3993.333,4401.026,1606508900.8423
336,4818.462,4072.308,4013.333,4450.769,1606508900.8501
337,4746.667,4066.154,3968.718,4412.821,1606508900.8578
338,4721.538,4065.128,3956.41,4402.051,1606508900.8656
339,4777.436,4074.872,3968.718,4432.821,1606508900.8733
340,4806.154,4083.077,3969.744,4424.615,1606508900.8812
341,4805.641,4093.333,3976.923,4408.205,1606508900.8889
342,4777.436,4132.308,4009.231,4418.974,1606508900.8967
343,4786.667,4166.667,4010.769,4428.205,1606508900.9044
344,4811.282,4105.128,3962.564,4426.154,1606508900.9123
345,4732.308,4018.462,3966.154,4438.462,1606508900.9202
346,4700.513,4079.487,4033.333,4471.795,1606508900.9281
347,4827.179,4176.923,4049.231,4494.359,1606508900.9359
348,4857.436,4144.615,4000.0,4472.821,1606508900.9438
349,4729.231,4077.949,3980.0,4433.333,1606508900.9516
350,4749.744,4116.923,4020.513,4457.436,1606508900.9596
351,4866.154,4182.564,4047.692,4497.436,1606508900.9674
352,4845.128,4160.0,4022.051,4487.692,1606508900.9753
353,4804.615,4117.436,3998.974,4479.487,1606508900.9831
354,4849.231,4125.641,4014.359,4495.897,1606508900.991
355,4881.026,4144.103,4024.103,4510.769,1606508900.9989
356,4811.795,4111.795,3997.949,4497.949,1606508901.0066
357,4740.513,4077.949,3978.974,4464.615,1606508901.0144
358,4795.385,4115.897,4006.154,4470.256,1606508901.0221
359,4868.205,4145.641,4023.59,4495.897,1606508901.0299
